"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600474592897600,2025-10-14 05:45:33.886,ADA_USD,LIMIT,SELL,14401.2,0,0.0,0.00000,0.00000,CANCELED
5755600474592526842,2025-10-14 05:43:40.149,ADA_USD,LIMIT,BUY,14392.6,0.69469,14392.6,9998.36100,0.00000,FILLED
5755600474235345682,2025-10-13 07:40:30.000,NEAR_USD,LIMIT,SELL,4363.0,2.5212,4363.0,10999.9957,2.5212,FILLED
5755600474264392609,2025-10-12 11:36:12.690,SUI_USD,LIMIT,SELL,9992.6,2.77360,9992.6,27715.47536,0.00000,FILLED
5755600474264303477,2025-10-12 11:35:31.027,SUI_USD,STOP_LIMIT,SELL,9992.6,0,0.0,0.00000,2.39500,CANCELED
5755600474252514463,2025-10-12 09:06:36.061,SUI_USD,LIMIT,BUY,10000.0,2.48100,10000.0,24810.00000,0.00000,FILLED
5755600474235276273,2025-10-12 05:11:59.107,NEAR_USD,STOP_LIMIT,SELL,4363.0,0,0.0,0.0000,2.1774,CANCELED
5755600474234948331,2025-10-12 05:07:27.377,NEAR_USD,LIMIT,BUY,4363.0,2.2920,4363.0,9999.9960,0.0000,FILLED
5755600474229864130,2025-10-12 04:11:53.513,SOL_USD,LIMIT,BUY,56.141,0,0.000,0.00,0.00,CANCELED
5755600474229170835,2025-10-12 04:05:49.184,BTC_USD,LIMIT,SELL,0.09031,0,0.00000,0.00,0.00,CANCELED
5755600474228582411,2025-10-12 03:59:45.480,BTC_USD,LIMIT,BUY,0.09031,110727.00,0.09031,9999.76,0.00,FILLED
5755600474144420863,2025-10-11 14:55:12.060,BTC_USD,LIMIT,SELL,0.17770,0,0.00000,0.00,0.00,CANCELED
5755600474129453290,2025-10-11 12:30:00.752,BTC_USD,LIMIT,BUY,0.17777,112500.00,0.17777,19999.13,0.00,FILLED
5755600474129182954,2025-10-11 12:26:30.255,BTC_USD,LIMIT,BUY,0.17786,0,0.00000,0.00,0.00,CANCELED
5755600474120999042,2025-10-11 10:41:48.031,ETH_USD,LIMIT,SELL,5.1828,4214.00,5.1828,21840.32,0.00,FILLED
5755600474120956013,2025-10-11 10:41:20.398,ETH_USD,STOP_LIMIT,SELL,5.1828,0,0.0000,0.00,3640.00,CANCELED
5755600474120422495,2025-10-11 10:35:09.520,ETH_USD,LIMIT,SELL,5.1828,0,0.0000,0.00,0.00,CANCELED
5755600474120156955,2025-10-11 10:32:13.242,ETH_USD,LIMIT,BUY,5.1880,3850.00,5.1880,19973.80,0.00,FILLED
